Name,Year,Duration,Genre,Rating,Votes
Adhipathi,2001,151,"Action, Drama",5.4,533
Adhura Sapna,2007,88,Drama,4.7,11
Adhurs,2010,150,"Action, Comedy, Thriller",6.8,2393
Adi Shankaracharya,1983,130,"Biography, Drama",7.3,240
Adil-E-Jahangir,1955,150,Drama,5,8
Adisaya Piravi,1990,145,"Action, Comedy, Fantasy",6.9,335
Adrishya,2017,106,"Drama, Family, Horror",3.3,102
Adutha Varisu,1983,122,Drama,5.5,76
Adventure Kids Hindi Film,2019,120,Adventure,6.6,12
Adventures of Aladdin,1978,151,Adventure,4.7,7
Adventures of Ali-Baba and the Forty Thieves,1980,153,"Action, Adventure, Family",6.2,506
Adventures of Tarzan,1985,135,"Action, Adventure, Comedy",4.6,140
Ae Dil Hai Mushkil,2016,158,"Drama, Music, Musical",5.8,21661
Aetbaar,2004,152,"Action, Drama, Musical",4.6,1013
Aflatoon,1997,153,"Action, Comedy, Crime",4.5,1261
Africadalli Sheela,1986,134,"Adventure, Thriller",6.6,18
Afsana,1966,134,"Drama, Romance",6.5,12
Afsana,1951,168,"Drama, Family",7.8,57
Afsana Dilwalon Ka,2001,195,"Drama, Romance",3.6,1025
Afsana Pyar Ka,1991,145,"Drama, Romance",5.9,783
Afsar,1950,121,"Comedy, Romance",7.1,19
After the Third Bell,2014,92,"Crime, Mystery",6.3,43
Agar Tum Na Hote,1983,161,"Drama, Family",6.4,152
Agathiyar,1972,153,"Adventure, Comedy, Drama",6.6,30
Agent Vinod,1977,139,"Action, Crime, Drama",5.7,84
Agent Vinod,2012,157,"Action, Adventure, Thriller",5.2,7210
Aghaat,1985,138,"Drama, Crime",7.1,120
Agnee,1988,153,"Action, Drama, Romance",5.1,29
Agnee Morcha,1997,142,Action,3.1,14
Agneekaal,1990,161,"Action, Crime, Drama",5.6,26
Agneepath,1990,174,"Action, Crime, Drama",7.7,8500
Agneepath,2012,174,"Action, Crime, Drama",6.9,22895
Agni IPS,1997,137,Action,7.8,33
Agni Pareeksha,1981,130,"Crime, Drama",6,22
Agni Sakshi,1996,142,"Drama, Musical, Romance",6.1,684
Agnichakra,1997,123,Action,3.6,53
Agniputra,2000,140,Action,4.6,24
Agnivarsha: The Fire and the Rain,2002,126,"Drama, Fantasy, Romance",4.6,361
Agreement,1980,124,"Musical, Comedy, Drama",6.2,19
Agyaat,2009,130,"Drama, Horror, Mystery",2.9,620
Ahaan,2019,81,"Comedy, Drama",7.2,213
Ahankaar,1995,145,Drama,5.9,53
Ahinsa,1979,103,"Action, Drama",4.1,10
Ahista Ahista,1981,141,"Musical, Romance",7,45
Ahista Ahista,2006,122,"Drama, Romance",7,1491
Ahsaas,1979,144,"Drama, Romance",5.7,38
Airlift,2016,130,"Drama, History",8,53897
Aisa Yeh Jahaan,2015,120,Drama,6.6,52
Aisha,2010,126,"Comedy, Drama, Romance",5,3953
Aisi Bhi Kya Jaldi Hai,1996,132,"Comedy, Romance",6.6,68
Aisi Deewangi,2009,125,"Action, Comedy, Drama",4.1,7
Aitbaar,1985,133,"Romance, Thriller",6.9,149
Aitraaz,2004,160,"Drama, Romance, Thriller",6.6,9721
Aiyaary,2018,157,"Action, Drama, Thriller",5.3,4167
Aiyyaa,2012,152,"Comedy, Romance",4.4,1765
Ajab Gazabb Love,2012,116,"Comedy, Romance",4.2,520
Ajab Prem Ki Ghazab Kahani,2009,150,"Action, Comedy, Romance",6.4,13194
Ajab Singh Ki Gajab Kahani,2017,115,Drama,5.8,52
Ajanabee,1974,139,"Drama, Romance",6.5,174
Ajay,1996,146,"Action, Drama, Romance",3.7,187
Ajeeb Daastaans,2021,142,"Drama, Romance",6.7,4133
Ajji,2017,104,Drama,6.9,973
Ajnabee,2001,165,"Action, Crime, Drama",6.4,8164
Ajooba,1991,178,"Action, Adventure, Comedy",5.3,1214
AK 47,2004,125,"Action, Thriller",5,39
AK vs AK,2020,108,"Action, Comedy, Crime",6.9,12429
Akaash Vani,2013,149,"Drama, Romance",6.3,1857
Akashdeep,1965,136,Drama,6.6,32
Akayla,1991,180,"Action, Drama, Thriller",5,421
Akbar Saleem Anarkali,1979,139,"Drama, History, Musical",7.7,38
Akela the Alone,2014,58,Thriller,5.5,10
Akele Hum Akele Tum,1995,160,Drama,7,4780
Akeli,1999,165,Romance,5.6,11
Akhiyon Se Goli Maare,2002,146,"Comedy, Romance",5.1,881
Akhri Muqabla,1989,132,"Action, Drama",5.3,13
Aks,2001,184,"Action, Crime, Horror",5.8,1627
Aksar,2006,135,"Drama, Romance, Thriller",4.8,1152
Aksar 2,2017,127,"Crime, Drama, Mystery",3.6,417
Alaap,1977,160,"Drama, Musical",6.7,327
Aladdin and the Wonderful Lamp,1952,144,"Adventure, Fantasy",5.9,15
Aladin,2009,132,"Action, Adventure, Comedy",4.6,2839
Alag Alag,1985,174,"Family, Musical, Romance",6.4,86
Alag: He Is Different.... He Is Alone...,2006,123,"Action, Drama, Fantasy",3.8,1172
Alajh Palajh,2019,136,Comedy,6.9,7
